ID,Name
1121,Infinite Game Publishing
1122,Infocom
1123,Infogrames
1124,Infogrames Entertainment
1125,Infogrames Europe
1126,Infogrames Studios
1127,Infrogrames
1128,Ingram Entertainment
1129,Innersloth
1130,InnoGames
1131,Insert More Coins
1132,Intellivision Entertainment
1133,Intentio Education
1134,InterAction Studios
1135,Interactive Magic
1136,Interceptor Entertainment
1137,Interchannel-Holon
1138,Interdimensional Games Inc
1139,Intergrow
1140,International PC Owners
1141,Interplay
1142,Interplay Entertainment
1143,Interplay Productions
1144,Interstel Corporation
1145,Inti Creates
1146,IntraCorp
1147,Intragames
1148,Introversion Software
1149,Inverse Ink
1150,Irem
1151,Irem America
1152,Irem Corporation
1153,Iridium Studios
1154,Iron Galaxy Studios
1155,Ironhide Game Studio
1156,Ironward
1157,Iznaut
1158,JAMDAT Mobile
1159,JAST USA
1160,JVC
1161,JVC Musical Industries
1162,JVC Musical Industries Europe
1163,Jack King-Spooner
1164,Jackbox Games
1165,Jagex
1166,Jakks Pacific
1167,Jaleco
1168,Jaleco USA
1169,Jam City
1170,JanduSoft
1171,Japan Capsule Computers UK
1172,Japan Home Video Co.
1173,Java Printz LLC
1174,Jesse Makkonen
1175,JetDogs Studios
1176,JoWooD Entertainment AG
1177,JoWooD Productions Software
1178,Joey Drew Studios
1179,John Lay
1180,John Romero
1181,Joindots
1182,Jonochrome
1183,JoshProd
1184,Joycity Corporation
1185,Joystick Knights
1186,Joystick Labs
1187,JungleTac
1188,Justdan International
1189,Jutsu Games
1190,K Amusement Leasing
1191,K Bros Games
1192,K.K. Time Warner Interactive
1193,KFC
1194,KID
1195,KIRA
1196,KISS ltd
1197,KLab
1198,KODANSHA
1199,KOG studios
1200,KTX Software
1201,Ka Sheng
1202,Kabam
1203,Kaboose
1204,Kadokawa Games
1205,Kadokawa Shoten
1206,Kaigan Games
1207,Kairosoft
1208,Kaizaran
1209,Kakao Games
1210,Kaken
1211,Kalani Games
1212,Kalypso
1213,Kalypso Media
1214,Kalypso Media Digital
1215,KalypsoMediaGroup
1216,Kama Digital Entertainment
1217,Kamil Doležal
1218,KamilFirma
1219,Kane Carter
1220,Kaneko
1221,Kasedo Games
1222,Kayin
1223,Kaze Emanuar
1224,Kee Games
